Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
9	2460725	2462005	VIT_09s0002g02710
Un	41344529	41345201	VIT_00s2215g00010
10	13049537	13050269	VIT_10s0042g00210
19	1126915	1130051	VIT_19s0014g01070
12	10034693	10046747	VIT_12s0057g01290
9	22390924	22395615	VIT_09s0054g01490
10	11294218	11296152	VIT_10s0092g00130
12	18684602	18688125	VIT_12s0034g02260
10	5939779	5946651	VIT_10s0003g03520
9	10322798	10323844	VIT_09s0002g08860
14	12098820	12099323	VIT_14s0036g01220
10	9190056	9191212	VIT_10s0003g05120
2	4341153	4343387	VIT_02s0025g04810
9	6189802	6192901	VIT_09s0002g06260
14	27639105	27640918	VIT_14s0066g01160
6	732503	733217	VIT_06s0004g00540
8	8786927	8789593	VIT_08s0058g00150
4	21396345	21396768	VIT_04s0044g00560
19	1520508	1521347	VIT_19s0014g01450
11	12865608	12866147	VIT_11s0078g00490
9	4664213	4664792	VIT_09s0002g05030
8	15791748	15794584	VIT_08s0007g01720
16	1601585	1601779	VIT_16s0039g01760
7	19853167	19855359	VIT_07s0031g03080
4	20833867	20841245	VIT_04s0044g00140
9	18744638	18788415	VIT_09s0018g01600
5	3151852	3155498	VIT_05s0020g01440
10_random	750081	750194	VIT_10s0116g01470
3	8653859	8658460	VIT_03s0088g00490
12	7074268	7076161	VIT_12s0059g02280
9	17140839	17147044	VIT_09s0018g00660
Un	21073186	21091606	VIT_00s0282g00040
4	22463343	22470471	VIT_04s0044g01120
12	4941455	4941937	VIT_12s0059g00020
5	4768687	4774303	VIT_05s0020g03030
18	18213114	18214038	VIT_18s0164g00030
9	4021016	4021502	VIT_09s0002g04410
Un	23095849	23097293	VIT_00s0319g00010
8	18509389	18510573	VIT_08s0007g04620
Un	10731146	10733471	VIT_00s0194g00270
Un	30043240	30044569	VIT_00s0477g00040
5	13655537	13656294	VIT_05s0136g00280
Un	32034405	32035708	VIT_00s0568g00020
3	8660759	8679489	VIT_03s0088g00500
14	5837017	5837292	VIT_14s0030g01310
10_random	139966	140982	VIT_10s0116g00320
17	8903187	8905249	VIT_17s0000g07930
14	6811951	6812094	VIT_14s0030g01920
19	23817862	23823379	VIT_19s0085g01120
12	8678865	8680701	VIT_12s0178g00200
18	8411528	8412438	VIT_18s0001g10050
14	27046667	27049716	VIT_14s0066g00540
12	1682201	1691707	VIT_12s0028g01120
4	4471170	4475207	VIT_04s0008g04980
1	4747830	4748946	VIT_01s0011g05110
5	17060036	17088913	VIT_05s0029g01200
2	18163348	18168033	VIT_02s0087g00680
10	12545885	12562424	VIT_10s0092g00710
14	27434348	27436713	VIT_14s0066g00990
18	589627	592083	VIT_18s0122g00800
3	10318929	10319612	VIT_03s0097g00330
12	3955215	3957441	VIT_12s0028g03190
6	6383337	6387974	VIT_06s0004g05560
12	12539336	12539871	VIT_12s0121g00410
3	1436852	1438855	VIT_03s0038g02080
11	785772	786464	VIT_11s0016g00890
12	6519198	6524165	VIT_12s0059g01600
Un	11315847	11322463	VIT_00s0199g00300
13	1823486	1824128	VIT_13s0067g03310
12	2614557	2619559	VIT_12s0028g01960
7	14751604	14755100	VIT_07s0197g00250
17	1717228	1718086	VIT_17s0000g02120
6	3981768	3982524	VIT_06s0004g03210
16	16095996	16099561	VIT_16s0100g00610
14	23967557	23970244	VIT_14s0068g00250
Un	14415786	14417252	VIT_00s0222g00080
7	3439221	3439951	VIT_07s0005g00810
14	26002602	26007066	VIT_14s0171g00130
2	3548144	3555599	VIT_02s0025g04040
8	17128377	17132263	VIT_08s0007g03100
2	2997436	3000351	VIT_02s0025g03500
17	7856461	7857753	VIT_17s0000g07100
Un	33590051	33599245	VIT_00s0652g00030
9	6220361	6223496	VIT_09s0002g06290
3	15941013	15957334	VIT_03s0017g00830
14	28790681	28796972	VIT_14s0066g02630
12	9081595	9083619	VIT_12s0057g00500
4	11299207	11300475	VIT_04s0079g00610
15	14868324	14881853	VIT_15s0048g00720
18	1619182	1620812	VIT_18s0001g00890
9	18375742	18378631	VIT_09s0018g01370
14	24652258	24655846	VIT_14s0068g00890
3	2421825	2422718	VIT_03s0038g03280
8	15693328	15695935	VIT_08s0007g01600
19	669185	677944	VIT_19s0014g00680
4	19448561	19450492	VIT_04s0023g02870
18	21155002	21155451	VIT_18s0075g00010
5	7912015	7913730	VIT_05s0049g00910
7	9606673	9607811	VIT_07s0005g05540
5	6635387	6637839	VIT_05s0020g04780
2	6818228	6834662	VIT_02s0012g00910
16	16972017	16974959	VIT_16s0050g00130
10	15521671	15522975	VIT_10s0042g01380
14	7408701	7410116	VIT_14s0030g02210
1	9381769	9382568	VIT_01s0026g00620
18	29243610	29244827	VIT_18s0089g01330
19	1480164	1486862	VIT_19s0014g01410
12	3301694	3310141	VIT_12s0028g02550
13	6676813	6678727	VIT_13s0019g04970
12	718221	719500	VIT_12s0028g00040
Un	42100312	42101271	VIT_00s2472g00010
Un	38535575	38537482	VIT_00s1323g00010
7	15871935	15875350	VIT_07s0129g00640
4	945473	948330	VIT_04s0008g01150
5	24497359	24499295	VIT_05s0094g01190
5	1424907	1428963	VIT_05s0077g01810
11	1713099	1719827	VIT_11s0016g02120
19	7476839	7478199	VIT_19s0090g01420
4	16523767	16527061	VIT_04s0023g00330
9	6174442	6175320	VIT_09s0002g06240
14	25853368	25853959	VIT_14s0068g02270
9	16128345	16129287	VIT_09s0018g00270
3_random	594652	613100	VIT_03s0038g00680
13	4787337	4792649	VIT_13s0019g03630
11	4399836	4403087	VIT_11s0016g05120
18	2352063	2359939	VIT_18s0001g01850
6	19852265	19857112	VIT_06s0080g00120
18	5484997	5490030	VIT_18s0001g07260
9	1651237	1654553	VIT_09s0002g01880
1	6043632	6047154	VIT_01s0011g06250
11	704010	706294	VIT_11s0016g00740
11	3891367	3898727	VIT_11s0016g04590
11_random	232287	232480	VIT_11s0016g00210
16	316837	332541	VIT_16s0039g00610
8	7851765	7853914	VIT_08s0105g00500
4	2495262	2500350	VIT_04s0008g03010
1	18036850	18052803	VIT_01s0010g01690
1	14670356	14678190	VIT_01s0010g00240
5	2881364	2896580	VIT_05s0020g01130
18	22524258	22526965	VIT_18s0075g00810
17	6396552	6408577	VIT_17s0000g05860
5	12968766	12969645	VIT_05s0051g01060
1	4638320	4649233	VIT_01s0011g04970
6	14200246	14201224	VIT_06s0009g01970
12	7864685	7865124	VIT_12s0134g00320
2	10191824	10201432	VIT_02s0012g02570
3	19139401	19146141	VIT_03s0017g02340
8	17773377	17774794	VIT_08s0007g03800
4	2863132	2867051	VIT_04s0008g03450
15	3126149	3126373	VIT_15s0024g01550
12	8769964	8770226	VIT_12s0057g00050
9	3809451	3816881	VIT_09s0002g04140
19	6960176	6964684	VIT_19s0090g00910
4	2889364	2892149	VIT_04s0008g03530
11	14746919	14750209	VIT_11s0065g00720
3	11421788	11424852	VIT_03s0132g00090
18_random	1294338	1294469	VIT_18s0001g00350
13	9570041	9570639	VIT_13s0106g00180
4	22814326	22820168	VIT_04s0044g01290
12	5810075	5815812	VIT_12s0059g00970
11	10423998	10441581	VIT_11s0037g01220
5	6919869	6920324	VIT_05s0020g04990
19	6798158	6798796	VIT_19s0090g00730
Un	36081711	36082788	VIT_00s0848g00010
18	19689715	19690961	VIT_18s0072g00480
15	17368200	17369931	VIT_15s0046g00360
7	4503236	4505061	VIT_07s0005g02090
2	6404343	6406186	VIT_02s0012g00540
1	3444539	3445456	VIT_01s0011g03800
16	14269633	14271192	VIT_16s0022g01970
13	7477715	7487281	VIT_13s0074g00100
13	5406577	5419654	VIT_13s0019g04130
15	4619393	4620618	VIT_15s0045g00070
18	18970338	18970725	VIT_18s0157g00160
6	6491416	6492044	VIT_06s0004g05690
18	19262617	19274847	VIT_18s0072g00210
16	10106590	10117827	VIT_16s0013g02140
8	20024286	20024850	VIT_08s0007g06220
18	10435490	10445249	VIT_18s0001g12250
Un	34806780	34813926	VIT_00s0734g00020
12	2265770	2266849	VIT_12s0028g01560
6	6420422	6423513	VIT_06s0004g05610
Un	7080011	7086438	VIT_00s0174g00200
13_random	2109042	2110741	VIT_13s0067g03770
14	2643169	2644348	VIT_14s0128g00070
11	10652892	10653258	VIT_11s0037g01300
8	334941	338670	VIT_08s0056g00210
19	8197997	8202504	VIT_19s0015g00180
9	16826909	16839614	VIT_09s0018g00610
13	17846226	17846729	VIT_13s0047g01000
10	12727854	12733290	VIT_10s0042g00070
19	1636708	1638686	VIT_19s0014g01540
14	5183501	5190105	VIT_14s0030g00890
18_random	797753	809831	VIT_18s0122g01180
18	18417736	18418190	VIT_18s0164g00130
6	13082065	13084153	VIT_06s0009g01380
7	4167330	4171817	VIT_07s0005g01680
5	7361028	7362449	VIT_05s0049g00300
4	3439924	3441644	VIT_04s0008g04100
14	25280932	25283918	VIT_14s0068g01580
19	21381109	21382737	VIT_19s0027g01360
19	21921001	21934455	VIT_19s0027g01660
3	2202701	2204632	VIT_03s0038g03070
17	9846987	9851851	VIT_17s0000g08560
1	5816722	5821599	VIT_01s0011g06050
1	15443313	15464465	VIT_01s0010g00550
Un	10816688	10820382	VIT_00s0198g00020
4	4190725	4193213	VIT_04s0008g04750
4	14283136	14286451	VIT_04s0043g00560
10	7076836	7077964	VIT_10s0003g04140
Un	36986904	36989536	VIT_00s0936g00010
8	18809103	18811707	VIT_08s0007g04860
5	768916	769818	VIT_05s0077g00990
18	11734395	11741936	VIT_18s0001g13720
11	8000062	8011856	VIT_11s0037g00250
3	2873799	2874340	VIT_03s0038g03930
2	2141900	2143945	VIT_02s0025g02460
17	6419730	6423630	VIT_17s0000g05880
13_random	1145143	1152180	VIT_13s0067g02040
Un	30166038	30167873	VIT_00s0480g00030
Un	14777939	14798862	VIT_00s0226g00040
1	18351868	18371412	VIT_01s0010g01830
5	23679847	23690833	VIT_05s0094g00370
1	15015189	15030833	VIT_01s0010g00400
8	16291041	16310447	VIT_08s0007g02270
3	8412010	8414515	VIT_03s0088g00380
2	2890636	2893718	VIT_02s0025g03390
11	1230800	1231307	VIT_11s0016g01540
1	19632806	19637615	VIT_01s0010g02580
12	20686937	20688139	VIT_12s0035g01000
5	4183301	4186271	VIT_05s0020g02510
4	2939918	2952641	VIT_04s0008g03600
16	11946895	11947987	VIT_16s0022g00620
2	17891521	17900849	VIT_02s0087g00490
4	20005369	20011421	VIT_04s0023g03420
4	17203403	17213416	VIT_04s0023g00800
5	9054920	9055240	VIT_05s0049g01630
17	7544681	7555807	VIT_17s0000g06890
13	6006418	6007107	VIT_13s0019g04570
1	3874215	3876221	VIT_01s0011g04270
12	7057021	7062635	VIT_12s0059g02260
12	22226052	22228660	VIT_12s0035g01900
18	25542317	25543132	VIT_18s0041g01010
12	6295963	6298124	VIT_12s0059g01360
18	5518048	5535125	VIT_18s0001g07290
1	10258947	10260421	VIT_01s0026g01250
13	3094278	3103506	VIT_13s0019g01610
Un	36907508	36908553	VIT_00s0927g00010
17	9433026	9452907	VIT_17s0000g08330
14	1022808	1028074	VIT_14s0060g01280
18	19959518	20011042	VIT_18s0072g00720
12_random	680639	681752	VIT_12s0142g00780
13	5655667	5663090	VIT_13s0019g04330
12	18664082	18670677	VIT_12s0034g02240
10	14284185	14285736	VIT_10s0042g00910
1	9310500	9313022	VIT_01s0026g00550
14	28373513	28376059	VIT_14s0066g02140
5	22363094	22367949	VIT_05s0102g00390
16	21470825	21473432	VIT_16s0098g01230
13	456630	461257	VIT_13s0067g00790
Un	23313583	23317859	VIT_00s0323g00040
6	19947559	19949838	VIT_06s0080g00170
14	26497763	26502551	VIT_14s0219g00270
3	5200808	5203881	VIT_03s0063g01870
15	17541297	17549240	VIT_15s0046g00580
2	10032915	10045270	VIT_02s0012g02530
14	1654895	1659342	VIT_14s0060g02070
4	18592883	18593688	VIT_04s0023g02090
2	2883782	2889055	VIT_02s0025g03380
13	14122289	14122459	VIT_13s0073g00390
9	6879497	6883661	VIT_09s0002g06980
5	15501340	15501980	VIT_05s0029g00580
Un	42118838	42119839	VIT_00s2478g00020
2	2240001	2248435	VIT_02s0025g02580
18_random	262112	266163	VIT_18s0122g00250
1	10009783	10011343	VIT_01s0026g01050
3	8414516	8423780	VIT_03s0088g00390
15	14565059	14583532	VIT_15s0048g00470
8	16147746	16154624	VIT_08s0007g02110
2	3727245	3728781	VIT_02s0025g04200
4	1237576	1240002	VIT_04s0008g01550
3	2120837	2121573	VIT_03s0038g02990
14	26778213	26779904	VIT_14s0066g00220
8	9398535	9419675	VIT_08s0058g00440
17	1309714	1312896	VIT_17s0000g01770
18	2822064	2827157	VIT_18s0001g02570
11	3703285	3706737	VIT_11s0016g04410
18	15773213	15774934	VIT_18s0076g00190
16	13649402	13651094	VIT_16s0022g01570
Un	40845029	40845980	VIT_00s1987g00010
12	8234819	8235844	VIT_12s0134g00630
17	12208651	12210316	VIT_17s0000g10060
5	6320701	6325534	VIT_05s0020g04510
7	18583612	18584702	VIT_07s0031g02450
4	3279191	3287256	VIT_04s0008g03940
Un	28279971	28281068	VIT_00s0415g00010
3	10119674	10120678	VIT_03s0097g00220
12	5106280	5115115	VIT_12s0059g00220
Un	9760836	9770018	VIT_00s0189g00050
19	479812	491484	VIT_19s0014g00470
18	4982073	4983574	VIT_18s0001g06610
7_random	1050714	1056306	VIT_07s0151g00750
13	1813634	1814511	VIT_13s0067g03290
Un	35474227	35475760	VIT_00s0800g00010
Un	20153187	20155744	VIT_00s0271g00110
15	14636233	14638621	VIT_15s0048g00520
17	8559043	8561734	VIT_17s0000g07570
15	10261053	10264196	VIT_15s0021g00580
10	7677854	7690318	VIT_10s0003g04440
1	7839046	7854134	VIT_01s0127g00480
9	21683519	21689865	VIT_09s0054g00830
4	18798072	18804835	VIT_04s0023g02300
10	12433382	12434323	VIT_10s0092g00660
12	1701069	1713637	VIT_12s0028g01140
15	10574193	10574605	VIT_15s0021g00760
13	635013	637333	VIT_13s0067g01150
7_random	729160	729717	VIT_07s0151g00010
3	1349912	1356622	VIT_03s0038g01940
6	13547645	13572768	VIT_06s0009g01610
10	9715378	9715662	VIT_10s0003g05220
Un	41589780	41591369	VIT_00s2300g00010
10	1236692	1242718	VIT_10s0405g00030
4	1938011	1949481	VIT_04s0008g02370
Un	28623374	28623696	VIT_00s0425g00010
18	22713704	22715312	VIT_18s0075g00960
9	22154680	22159973	VIT_09s0054g01230
7	8137299	8138256	VIT_07s0005g04870
9	4090802	4093551	VIT_09s0002g04500
10	3313424	3323165	VIT_10s0003g01860
17	12530668	12532972	VIT_17s0000g10280
9	2909046	2912115	VIT_09s0002g03170
Un	38369171	38369564	VIT_00s1287g00020
Un	7548022	7550522	VIT_00s0179g00310
7	20523179	20529852	VIT_07s0130g00230
11	4357981	4360345	VIT_11s0016g05070
5	2548762	2557921	VIT_05s0020g00680
4	19132118	19133693	VIT_04s0023g02570
18	4566745	4574723	VIT_18s0001g05970
2	1225293	1227979	VIT_02s0025g01270
11	8193472	8194851	VIT_11s0037g00400
2	11761090	11762715	VIT_02s0012g03170
9_random	91482	93130	VIT_09s0002g00110
15	8512184	8515704	VIT_15s0107g00300
9	1283591	1286212	VIT_09s0002g01510
6	5882522	5888064	VIT_06s0004g04920
19	4723091	4725550	VIT_19s0014g04450
12	18523523	18525911	VIT_12s0034g02190
8	20289839	20291803	VIT_08s0007g06570
5	4124621	4127071	VIT_05s0020g02450
1	7746395	7751709	VIT_01s0127g00410
19	10559069	10562287	VIT_19s0015g01830
14	24509679	24524403	VIT_14s0068g00720
8	20380186	20383790	VIT_08s0007g06700
18	4062087	4068935	VIT_18s0001g04910
8	22183311	22186024	VIT_08s0007g08810
6	16681883	16687513	VIT_06s0009g03430
2	11847579	11848204	VIT_02s0012g03250
Un	2170761	2173428	VIT_00s0131g00010
18	1236395	1237201	VIT_18s0001g00220
Un	13067321	13076906	VIT_00s0213g00020
Un	31179836	31180472	VIT_00s0524g00010
14	28909763	28912820	VIT_14s0108g00090
5	5444219	5449262	VIT_05s0020g03760
14	1430470	1437288	VIT_14s0060g01740
3	3433730	3442579	VIT_03s0038g04690
6	5352023	5352367	VIT_06s0004g04370
2	3722111	3723098	VIT_02s0025g04180
9	18284173	18284391	VIT_09s0018g01320
2	4766577	4768238	VIT_02s0241g00150
17	359709	361793	VIT_17s0000g00530
12	12651324	12652202	VIT_12s0055g00060
6	13207783	13215862	VIT_06s0009g01450
1	1248212	1255029	VIT_01s0011g01460
Un	6540790	6541224	VIT_00s0173g00110
7	3523779	3524356	VIT_07s0005g00930
12	9565719	9574010	VIT_12s0057g00860
8	12864681	12871157	VIT_08s0040g01740
19	21934456	21949835	VIT_19s0027g01670
8	14801858	14806476	VIT_08s0007g00530
4	6089279	6096634	VIT_04s0008g06260
17	1900960	1903772	VIT_17s0000g02260
12	6255066	6262616	VIT_12s0059g01310
4	15730840	15732344	VIT_04s0043g01040
3	18171437	18173096	VIT_03s0017g01840
9	2894701	2896464	VIT_09s0002g03140
18	25436532	25437482	VIT_18s0041g00930
18	8028200	8029537	VIT_18s0001g09620
9	21604925	21613828	VIT_09s0054g00760
8	18167317	18169195	VIT_08s0007g04180
7	16221196	16222757	VIT_07s0129g01060
18	29194471	29196480	VIT_18s0089g01280
10	477275	487964	VIT_10s0116g00970
Un	30035450	30035671	VIT_00s0477g00020
17	2692174	2698467	VIT_17s0000g02900
12	5332214	5332785	VIT_12s0059g00490
17	6754044	6755968	VIT_17s0000g06190
13	7046842	7047177	VIT_13s0019g05220
Un	17788710	17795448	VIT_00s0253g00070
7	7754726	7755188	VIT_07s0005g04540
Un	17813322	17813755	VIT_00s0253g00100
19	15779855	15781049	VIT_19s0140g00210
15	18502101	18503257	VIT_15s0046g01570
11	14842404	14847524	VIT_11s0065g00850
9	6466342	6468810	VIT_09s0002g06530
1	7246123	7247193	VIT_01s0137g00740
16	19098149	19102682	VIT_16s0050g02120
19	18546013	18546283	VIT_19s0027g00140
18	4586571	4589855	VIT_18s0001g06000
1	8847240	8851544	VIT_01s0026g00210
12	16760185	16760841	VIT_12s0034g00940
7	16296547	16298137	VIT_07s0031g00040
18	4390485	4398813	VIT_18s0001g05600
9	8530067	8530804	VIT_09s0002g07990
11	1774972	1783050	VIT_11s0016g02170
Un	23409521	23422273	VIT_00s0324g00040
3	5264340	5268033	VIT_03s0063g01980
Un	9496522	9496799	VIT_00s0188g00170
8	14745210	14759808	VIT_08s0007g00460
7	20843944	20855043	VIT_07s0130g00440
Un	12921201	12930742	VIT_00s0211g00100
6	19687652	19693406	VIT_06s0080g00010
2	4983447	4986654	VIT_02s0154g00200
18	28331841	28332170	VIT_18s0089g00530
18	4483440	4486850	VIT_18s0001g05780
1	11789594	11793768	VIT_01s0026g02310
15	17436787	17441640	VIT_15s0046g00480
19	473428	478067	VIT_19s0014g00460
18	1565565	1566903	VIT_18s0001g00810
14	28745846	28754802	VIT_14s0066g02550
1	8955778	8962214	VIT_01s0026g00280
19	2760878	2762169	VIT_19s0014g02700
17_random	753178	773144	VIT_17s0000g01070
Un	18828310	18832207	VIT_00s0262g00010
17	10300540	10303089	VIT_17s0000g08840
Un	27343538	27343800	VIT_00s0396g00040
3	3421671	3425591	VIT_03s0038g04670
9	21785351	21786962	VIT_09s0054g00910
15	19083570	19096974	VIT_15s0046g02290
5	6694384	6698195	VIT_05s0020g04850
5	1597955	1599250	VIT_05s0077g02070
2	4730224	4730871	VIT_02s0241g00070
17	1238487	1241306	VIT_17s0000g01660
14	24943888	24944747	VIT_14s0068g01160
1	3514066	3515031	VIT_01s0011g03840
Un	13915095	13917298	VIT_00s0218g00010
4	20937375	20940114	VIT_04s0044g00250
14	19336707	19336926	VIT_14s0006g02150
13	24148768	24153112	VIT_13s0156g00480
18	11348587	11353628	VIT_18s0001g13330
13_random	2867026	2867804	VIT_13s0019g01210
18	2627885	2629132	VIT_18s0001g02270
13	4296050	4298011	VIT_13s0019g03230
12	16368045	16368490	VIT_12s0034g00650
11	7656325	7659699	VIT_11s0037g00040
18	6398183	6402500	VIT_18s0001g07930
10	13405965	13406256	VIT_10s0042g00470
Un	14710270	14711637	VIT_00s0225g00170
9	1607096	1615953	VIT_09s0002g01800
9	3014279	3015341	VIT_09s0002g03320
9	12929682	12939947	VIT_09s0070g00030
6	228109	247279	VIT_06s0004g00100
19	8443524	8455022	VIT_19s0015g00430
13	7495808	7499989	VIT_13s0074g00130
6	19536985	19538630	VIT_06s0061g01600
18	7926705	7930669	VIT_18s0001g09480
16	15902854	15908357	VIT_16s0100g00450
17	157879	167902	VIT_17s0000g00240
Un	7739014	7744495	VIT_00s0181g00100
18	10519651	10520983	VIT_18s0001g12320
11	14311366	14323011	VIT_11s0065g00480
9	4127847	4133231	VIT_09s0002g04550
14	6917578	6920157	VIT_14s0030g01950
8	3477523	3481080	VIT_08s0032g00370
16	22015067	22016042	VIT_16s0098g01910
6	19347365	19360240	VIT_06s0061g01480
9	8568990	8570254	VIT_09s0002g08030
5	3427162	3427414	VIT_05s0020g01700
16	3071178	3077494	VIT_16s0039g02700
14	12348595	12348732	VIT_14s0036g01300
6	4796893	4797819	VIT_06s0004g03830
18_random	3674530	3676255	VIT_18s0001g04060
18	11138196	11139020	VIT_18s0001g13040
17	31533	34781	VIT_17s0000g00040
Un	25184116	25187410	VIT_00s0353g00050
9	6407252	6412845	VIT_09s0002g06460
3_random	1082862	1088342	VIT_03s0038g01600
14	6728661	6736162	VIT_14s0030g01840
5_random	172404	173165	VIT_05s0077g00310
19	9539805	9543833	VIT_19s0015g01340
3	6691248	6693137	VIT_03s0091g00370
3	19070500	19072348	VIT_03s0017g02280
5	833152	835199	VIT_05s0077g01070
18_random	377946	380907	VIT_18s0122g00420
15	15244253	15252325	VIT_15s0048g01130
2	722229	726961	VIT_02s0025g00670
4	3080626	3083398	VIT_04s0008g03730
10	77195	79686	VIT_10s0116g00170
18	1145341	1156506	VIT_18s0001g00110
16	13107299	13109050	VIT_16s0022g01210
5	7484185	7487802	VIT_05s0049g00440
18	25886238	25888623	VIT_18s0041g01250
